,Keywords,title,year,
154,Microblogging SocialNetwork TopicAnalysis Twitter,Characterization of the Twitter @Replies Network: Are User Ties Social or Topical?,2010,
156,OpinionMining SentimentAnalysis SocialMedia,"Twitter, MySpace, Digg: Unsupervised Sentiment Analysis in Social Media",2012,
157,Twitter Leaks Privacy SocialNetworks,Loose Tweets: An Analysis of Privacy Leaks on Twitter,2011,
159,Twitter Sentiment Retweetability PoliticalCommunication,Political Communication and Influence Through Microblogging--An Empirical Analysis of Sentiment in Twitter Messages and Retweet Behavior,2012,
160,CrowdBehavior Location-BasedSocialNetworkSites Microblogs UrbanCharacteristics,Urban Area Characterization Based on Crowd Behavioral Lifelogs over Twitter,2013,
161,Big-DataAnalytic Drug-RelatedAdverseEvents HighPerformanceComputing Mapreduce NaturalLanguageProcessing PublicHealth TwitterMining,Towards Large-scale Twitter Mining for Drug-related Adverse Events,2012,
162,EmotionIdentification EmotionAnalysis EmotionIntelligence Twitter,Harnessing Twitter Big Data for Automatic Emotion Identification,2012,
164,Crowdsourcing EventDetection MechanicalTurk Reproducibility SocialMedia TestCollection TwitterCorpus,Building a Large-scale Corpus for Evaluating Event Detection on Twitter,2013,
165,MachineLearning SocialNetworkSecurity SpamDetection,Spam Detection on Twitter Using Traditional Classifiers,2011,
166,FigurativeLanguageProcessing IronyDetection Negation WebTextAnalysis,A Multidimensional Approach for Detecting Irony in Twitter,2013,
168,#hashtag Twitter OpinionSummarization SentimentAnalysis TopicAnalysis,Entity-centric Topic-oriented Opinion Summarization in Twitter,2012,
170,FollowerMarkets OnlineSocialNetworks Sybils Twitter,Follow the Green: Growth and Dynamics in Twitter Follower Markets,2013,
172,CommunicationPrivacyManagement Followers/Followed Front/Back-Stage MediatedDisclosure Self-Disclosure Twitter,"Mediated Disclosure on Twitter: The Roles of Gender and Identity in Boundary Impermeability, Valence, Disclosure, and Stage",2013,
173,Congress Internet Twitter Communication,Twitter: The Electoral Connection?,2011,
174,BigData InformationStorageAndRetrieval SocialNetworks,Seeder Finder: Identifying Additional Needles in the Twitter Haystack,2013,
175,Diffusion Government Microblogging SocialMedia SocialPresence Twitter,Twitter in Government: Building Relationships One Tweet at a Time,2010,
176,Elections Internet Participation Politics SocialMedia,"Social Media and Political Participation: Are Facebook, Twitter and YouTube Democratizing Our Political Systems?",2011,
177,Attraction Bot Casa CommunicationCompetence Credibility Twitter,Is That a Bot Running the Social Media Feed? Testing the Differences in Perceptions of Communication Quality for a Human Agent and a Bot Agent on Twitter,2014,
178,GroupDynamics InformationOverload MixedMethods OnlineCommunities Ostracism SpeechCodesTheory TwitterChats,On Participation in Group Chats on Twitter,2013,
179,Twitter SocialNetworkServices Identification ElectronicMail Blogs SocialNetworks AutomaticIdentification Bot Cyborg Twitter,"Detecting Automation of Twitter Accounts: Are You a Human, Bot, or Cyborg?",2012,
181,OnlineSocialNetworks,Faking Sandy: Characterizing and Identifying Fake Images on Twitter During Hurricane Sandy,2013,
182,Classification Regression SocialMedia,Lightweight Methods to Estimate Influenza Rates and Alcohol Sales Volume from Twitter Messages,2013,
183,RandomSampling SamplingContentStreams SamplingFromExperts Twitter TwitterLists,On Sampling the Wisdom of Crowds: Random vs. Expert Sampling of the Twitter Stream,2013,
184,Twitter Pagerank Amazon DataMining WebCrawl,Mining Twitter in the Cloud: A Case Study,2010,
185,94a02 Korea Polarization Politician TripleHelix Twitter,Measuring Twitter-based Political Participation and Deliberation in the South Korean Context by Using Social Network and Triple Helix Indicators,2012,
186,Influence Twitter UserClassification WebScience,Identifying Communicator Roles in Twitter,2012,
187,Twitter DataMining Credibility,Credibility in Context: An Analysis of Feature Distributions in Twitter,2012,
188,InformationFiltering TwitterRecommendation,Making Your Interests Follow You on Twitter,2012,
189,NetworkDynamics NetworksOfDiffusion Twitter,The Bursty Dynamics of the Twitter Information Network,2014,
190,OnlineDocuments GroupInteraction:AnalysisOfVerbalAndNon-VerbalCommunication PatternRecognitionSystemsAndApplications,A Study on Detecting Patterns in Twitter Intra-topic User and Message Clustering,2010,
191,BrandTrust Self-BrandPersonalityMatch SocialMediaBrand TrustTransfer Twitter,Antecedents and Consequences of Trust in a Social Media Brand: A Cross-cultural Study of Twitter,2013,
192,SemanticEnrichment Service Twitter UserModeling,TUMS: Twitter-based User Modeling Service,2012,
194,CrowdBehavior Location-BasedSocialNetworkSites UrbanCharacteristics,Crowd-based Urban Characterization: Extracting Crowd Behavioral Patterns in Urban Areas from Twitter,2011,
195,Diffusion Events OnlineSocialNetwork Topics,Spatio-temporal and Events Based Analysis of Topic Popularity in Twitter,2013,
196,TopicModel UserInterest Twitter Twitter-UserModel,Discovering User Interest on Twitter with a Modified Author-Topic Model,2011,
197,Facebook Millennials Narcissism Personality SocialNetworking Twitter,Twitter Versus Facebook: Exploring the Role of Narcissism in the Motives and Usage of Different Social Media Platforms,2014,
