414,"characteristic co-occurrence word, clustering, hashtags, news topic, social media, tweet, twitter",News-Topic Oriented Hashtag Recommendation in Twitter Based on Characteristic Co-occurrence Word Detection,2012,1
417,"Twitter, classification, event detection, microblogging, semi-automatic training",Social Event Detection on Twitter,2012,1
425,"crowdsourcing, lists, topic inference, twitter, who is who",Inferring Who-is-who in the Twitter Social Network,2012,1
429,"emoticons, opinion mining, product review, sentiment analysis, sentiment lexicon, topic modeling, twitter",Twitter Opinion Topic Model: Extracting Product Opinions from Tweets by Leveraging Hashtags and Sentiment Lexicon,2014,1
431,"subjectivity, social features, Twitter",What Do the Average Twitterers Say: A Twitter Model for Public Opinion Analysis in the Face of Major Political Events,2011,1
433,"event credibility, event detection, event timespan computation, event type prediction, location prediction, microblogs, social media analytics platform, twitter, www tutorial",Towards a Social Media Analytics Platform: Event Detection and User Profiling for Twitter,2014,1
435,"social media analytics, data mining, big data",A Fuzzy Logic Approach for Opinion Mining on Large Scale Twitter Data,2014,1
438,"MapReduce, opinion mining, social networks, twitter",Towards Building Large-scale Distributed Systems for Twitter Sentiment Analysis,2012,1
445,"discussion retrieval, event data, social media",Real Time Discussion Retrieval from Twitter,2013,1
447,"Tourism, Sentiment Mining, SOM, Twitter, Social Networks, Semantic Web, Text Mining",Thailand -- Tourism and Conflict: Modeling Sentiment from Twitter Tweets Using Na\{\i}Ve Bayes and Unsupervised Artificial Neural Nets,2010,1
452,"social and behavioral sciences, social networks, twitter",A Sentiment Analysis of Audiences on Twitter: Who is the Positive or Negative Audience of Popular Twitterers?,2011,1
455,"Twitter stream analysis, anomaly detection, binary classification, spam and off-topic content detection",Topical Anomaly Detection from Twitter Stream,2012,1
456,"hashtag, hashtag annotation, topic model, twitter",Tagging Your Tweets: A Probabilistic Modeling of Hashtag Annotation in Twitter,2014,1
458,"Data mining, Semantic analysis, Social network, Software architecture, Tweet","A Software Architecture for Twitter Collection, Search and Geolocation Services",2013,1
468,"Semisupervised learning, model combination, tweet normalization",Named Entity Recognition for Tweets,2013,1
469,"mood analysis, regression on tweets, twitter user mood prediction",Twitter User Behavior Understanding with Mood Transition Prediction,2012,1
471,"Semantic Patterns, Sentiment Analysis, Twitter",Semantic Patterns for Sentiment Analysis of Twitter,2014,1
472,"named entities, noun phrases, social media, twitter",Community-based Classification of Noun Phrases in Twitter,2012,1
474,"SEIZ, SIS, epidemiological modeling, rumor detection",Epidemiological Modeling of News and Rumors on Twitter,2013,1
482,"Sentiment Analysis, Opinion Mining, Twitter Sentiment Analysis, Aspect-based Sentiment Analysis",Aspect-Based Twitter Sentiment Classification,2013,1
483,"sentiment analysis, influence analysis, Twitter",Learning Sentimental Influence in Twitter,2011,1
485,"Named entity recognition, Social networks, Network analysis, Multiplex social network",Towards Named Entity Recognition Method for Microtexts in Online Social Networks: A Case Study of Twitter,2011,1
489,"Social Media, Conditional Random Fields, Event Extraction, Entity Resolution",Extraction and Compilation of Events and Sub-events from Twitter,2012,1
490,"event detection, sentiment analysis, summarization","Brand-Related Events Detection, Classification and Summarization on Twitter",2012,1
496,"Twitter, classification, political disaffection, sentiment analysis",Modelling Political Disaffection from Twitter Data,2013,1
497,"query expansion, social media, Twitter hashtags, semantic network",Socio-semantic Query Expansion Using Twitter Hashtags,2012,1
504,"Social Media, Twitter, Text Classification, Semantic Role Labelling, Machine Learning",Detecting Life Events in Feeds from Twitter,2013,1
505,"Sentiment Analysis, Time Series, Twitter, Elections, Polarity, Hash Tags, Topics",2012 Presidential Elections on Twitter -- An Analysis of How the US and French Election Were Reflected in Tweets,2013,1
515,"microblogging data, returns, sentiment analysis, text mining, trading volume, volatility",Some Experiments on Modeling Stock Market Behavior Using Investor Sentiment Analysis and Posting Volume from Twitter,2013,1
529,"content curation, network analysis, social media monitoring, social network discovery",A System for Twitter User List Curation,2012,1
537,"Demographics, Gender, Metadata, Social media, Time, Twitter, n-gram corpus",Twitter N-gram Corpus with Demographic Metadata,2013,1
538,"friend recommendation, micro blogs, social network distance, topical proximity",An Analysis of Topical Proximity in the Twitter Social Graph,2012,1
545,"information credibility, Latent Dirichlet Allocation, topic model, Twitter, sentiment analysis",Topic and Opinion Classification Based Information Credibility Analysis on Twitter,2013,1
547,"Keyphrase Extraction, Graph-based Ranking, Hashtag, Twitter, PageRank, TextRank, NE-Rank",NE-Rank: A Novel Graph-Based Keyphrase Extraction in Twitter,2012,1
558,"opinion mining, time series analysis, volatility, twitter",Opinion Dynamics of Elections in Twitter,2012,1
561,"text mining, identity recognition, social networks, machine learning",Recognising User Identity in Twitter Social Networks via Text Mining,2013,1
562,"language models, road hazards, sentiment analysis, twitter",Where Not to Go?: Detecting Road Hazards Using Twitter,2014,1
565,"sentiment analysis, social network services, twitter",Sentiment Analysis for Tracking Breaking Events: A Case Study on Twitter,2013,1
568,"Political talk, Selective exposure, Social Media, Social networks, Twitter",Birds of a Feather Tweet Together: Integrating Network and Content Analyses to Examine Cross-Ideology Exposure on Twitter,2013,1
575,"DBpedia, concept drift, feature relevance decay, social media, topic detection",Stretching the Life of Twitter Classifiers with Time-Stamped Semantic Graphs,2014,1
587,"Multirelation, Twitter topic detection, multiview clustering, suffix tree",Detecting Hot Topics from Twitter: A Multiview Approach,2014,1
594,"natural language processing, text mining",Tweeting About the Tsunami?: Mining Twitter for Information on the Tohoku Earthquake and Tsunami,2012,1
596,"Salience Theory, Social Media, Text mining, Twitter",Determining Political Stances from Twitter Timelines: The Belgian Parliament Case,2014,1
603,"mood, twitter, weather",What a Nasty Day: Exploring Mood-Weather Relationship from Twitter,2014,1
608,"event detection, geography, information propagation, twitter",Information Current in Twitter: Which Brings Hot Events to the World,2013,1
609,"Event Detection, Clustering, Micro-blogging, Twitter, Tweets in Turkish, Semantics, Word Co-occurrences",Semantic Expansion of Tweet Contents for Enhanced Event Detection in Twitter,2012,1
621,"behavioral analysis, homophily, overlapping community, same wavelength group, sentiment analysis",Identifying Same Wavelength Groups from Twitter: A Sentiment Based Approach,2013,1
632,"Keyphrase Extraction, Graph-based Ranking, Hashtag, Twitter, NE-Rank, Social Network Analysis",Learning from Twitter Hashtags: Leveraging Proximate Tags to Enhance Graph-Based Keyphrase Extraction,2012,1
677,"Sentiment analysis, Social TV, Social recommendation, Text mining, Topic extraction",Twitter Analysis Algorithms for Intelligence Circulation System,2013,1
679,"contextual semantics, sentiment analysis, stopwords, twitter",Automatic Stopword Generation Using Contextual Semantics for Sentiment Analysis of Twitter,2014,1
680,"Twitter, linguistic factors, quantitative politics",Linguistic Factors Associated With Propagation of Political Opinions in Twitter,2014,1
683,"emotion, mood, mood diffusion, social media, twitter","You'Re Happy, I'M Happy: Diffusion of Mood Expression on Twitter",2014,1
685,"live sports updates, Twitter, summarization",Generating Live Sports Updates from Twitter by Finding Good Reporters,2013,1
691,"computational humor, humor recognition, machine learning, twitter",Recognizing Humor on Twitter,2014,1
692,"Comparability metrics, Comparable corpora, NLP, Social networks, Text mining",Twitter As a Multilingual Source of Comparable Corpora,2014,1
694,"entity specific twitter sentiment, micro blogs, sentiment analysis, spam, twitter",TwiSent: A Multistage System for Analyzing Sentiment in Twitter,2012,1
701,"human computer interaction, natural processing language, social network sites natural, user eXperience",Do Users Write About the System in Use?: An Investigation from Messages in Natural Language on Twitter,2014,1
704,"information extraction, sentiment analysis, time series analysis, quality of services, twitter",Early Detection Method of Service Quality Reduction Based on Linguistic and Time Series Analysis of Twitter,2013,1
729,"Twitter, sentiment analysis, social networks, stream analysis, tweets",Twitter Stream Analysis in Spanish,2013,1
736,"Emoticon, Microblog, Sentiment, Twitter",Role of Emoticons for Multidimensional Sentiment Analysis of Twitter,2014,1
749,"Opinion mining, sentiment analysis, text mining, classifier, social media",Twitter Sentiment Mining: A Multi Domain Analysis,2013,1
750,"Big Data, Data Sources, Keyword-Based Classifier, Micro Blogging Community, Sentiment Dimensions, Short Message Based Sentiment Mining, Social Media Community, User Relations",Keyword-Based Sentiment Mining Using Twitter,2013,1
758,"public health informatics,Literature-based discovery,semantic information,Twitter",A Semantic Approach to Involve Twitter in LBD Efforts,2012,1
759,"topic model, LDA (Latent Dirichlet Allocation), correlation coefficient, Jensen-Shannon divergence, Twitter",Refining LDA Results and Ranking Topics in Order of Quantity and Quality with an Application to Twitter Streaming Data,2014,1
794,"Twitter, deception, social network analysis, opinion mining, sentimental analysis, anomaly detection, natural language processing",Prospects for Detecting Deception on Twitter,2014,1
803,"Hashtag, Statistical Machine Translation, Twitter",Statistical Translation Language Model for Twitter Search,2013,1
804,"computer-mediated communication, language choice, microblogging, microblogs, multilingual communication, social network analysis, twitter",Multilingual Use of Twitter: Social Networks and Language Choice,2012,1
809,"emotion analysis, exploring TV programs, twitter",Searching Emotional Scenes in TV Programs Based on Twitter Emotion Analysis,2013,1
810,"Dirichlet process, Twitter, HDP-HMM, microblog summarization",Automatic Twitter Topic Summarization,2014,1
811,"Twitter, authorship attribution, clustering, malicious campaigns, online social networks, suspicious profiles",REPLOT: REtrieving Profile Links on Twitter for Suspicious Networks Detection,2013,1
818,"Twitter, data mining, forex, gold, microblogging, oil, sentiment analysis, social network analysis, stock market","Modeling Movements in Oil, Gold, Forex and Market Indices Using Search Volume Index and Twitter Sentiments",2013,1
821,"76m27 Visualization algorithms, Big data, Internet, Social network, Twitter, Visualization",A Multiscale Approach to Network Event Identification Using Geolocated Twitter Data,2014,1
839,"social media, data mining, big data algorithm, Twitter, MapReduce",A Paralleled Big Data Algorithm with MapReduce Framework for Mining Twitter Data,2014,1
848,"expertise score, sentiment analysis, topic classification, topic model, twitter, information credibility",High Precision Credibility Analysis of Information on Twitter,2013,1
849,"311 civil complaints, happiness index, online social networks, sentiment analysis, spatio-temporal analysis, twitter data","Hey #311, Come Clean My Street!: A Spatio-temporal Sentiment Analysis of Twitter Data and 311 Civil Complaints",2014,1
870,"Social media, semantic enrichment, topic model, unsupervised learning",Integrating Social and Auxiliary Semantics for Multifaceted Topic Modeling in Twitter,2014,1
874,"hashtag, social phenomena, twitter, user sentiment analysis",Characterizing the Effectiveness of Twitter Hashtags to Detect and Track Online Population Sentiment,2012,1
877,"analytics, big data, realtime, twitter",Realtime Analytics @ Twitter,2013,1
879,"Twitter, Moodle, OAI-PMH, Digital Repository Integration, Ontologies, Semantic Retrieval",Use of Twitter and Semantic Resource Recovery in the Educational Context,2012,1
883,"Personal Health Information, Text Mining",Text Mining for Personal Health Information on Twitter,2012,1
885,"Twitter, natural language processing, exploratory searching, user interface, feature term extraction",Estimating Feature Terms for Supporting Exploratory Browsing of Twitter Timelines,2013,1
897,"PageRank, characteristic co-occurrence word, hashtag, social network analysis, twitter",Finding News-topic Oriented Influential Twitter Users Based on Topic Related Hashtag Community Detection,2014,1
914,"Semantics, Social Media, Twitter",Semantifying Twitter: The Influence Tracker Ontology,2014,1
932,"Sentiment Analysis, Text Classification, Twitter, Opinion Mining, Polarity",Automatic Unsupervised Polarity Detection on a Twitter Data Stream,2014,1
934,"topic detection, twitter, cluster algorithm, label propagation model",Topic Detection in Twitter Based on Label Propagation Model,2014,1
939,"Twitter geolocation, conceptual fuzzy set, language-game and natural language processing",A Recommendation System for Twitter Users in the Same Neighborhood,2013,1
940,"attitude, selective exposure, twitter",Association Between Selective Exposure and Attitude on Twitter,2013,1
945,"document clustering, community detection, early fusion, late fusion",Early and Late Fusion Methods for the Automatic Creation of Twitter Lists,2012,1
961,"Opinion Mining, Sentiment Analysis, Twitter",Twitter Mining in the Oil Business: A Sentiment Analysis Approach,2013,1
962,"Twitter, Government, Genre Analysis",Tweeting Government: A Case of Australian Government Use of Twitter,2011,1
